c28992r1000,aantal_inwoners,geometry,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-0,Total
35,9375,"POLYGON ((79000 451000, 79000 452000, 78000 452000, 78000 451000, 79000 451000))",0.0358974358974359,0.025641025641025644,0.046153846153846156,0.03076923076923077,0.005128205128205128,0.025641025641025644,0.025641025641025644,0.10256410256410257,0.06153846153846154,0.09230769230769231,0.08717948717948719,0.05641025641025641,0.12820512820512822,0.158974358974359,0.09743589743589744,0.12307692307692308,0.10256410256410257,0.11794871794871796,0.06153846153846154,0.06153846153846154,0.10256410256410257,0.041025641025641026,0.05641025641025641,0.046153846153846156,1.6923076923076925
36,11210,"POLYGON ((79000 452000, 79000 453000, 78000 453000, 78000 452000, 79000 452000))",0.046153846153846156,0.020512820512820513,0.05641025641025641,0.041025641025641026,0.0358974358974359,0.0358974358974359,0.025641025641025644,0.09743589743589744,0.06666666666666667,0.12307692307692308,0.09743589743589744,0.09743589743589744,0.13333333333333333,0.1435897435897436,0.12307692307692308,0.09743589743589744,0.1435897435897436,0.15384615384615385,0.12820512820512822,0.0717948717948718,0.07692307692307693,0.07692307692307693,0.0717948717948718,0.08205128205128205,2.046153846153846
37,13525,"POLYGON ((79000 453000, 79000 454000, 78000 454000, 78000 453000, 79000 453000))",0.05641025641025641,0.05128205128205129,0.041025641025641026,0.05641025641025641,0.041025641025641026,0.046153846153846156,0.0717948717948718,0.08205128205128205,0.158974358974359,0.12307692307692308,0.1435897435897436,0.13333333333333333,0.22564102564102564,0.20000000000000004,0.13846153846153847,0.14871794871794872,0.17435897435897438,0.13846153846153847,0.08205128205128205,0.12307692307692308,0.09230769230769231,0.13846153846153847,0.08205128205128205,0.08717948717948719,2.635897435897436
38,16380,"POLYGON ((79000 454000, 79000 455000, 78000 455000, 78000 454000, 79000 454000))",0.0717948717948718,0.06666666666666667,0.046153846153846156,0.0358974358974359,0.046153846153846156,0.046153846153846156,0.041025641025641026,0.05128205128205129,0.11794871794871796,0.1076923076923077,0.1076923076923077,0.22051282051282053,0.13333333333333333,0.19487179487179487,0.09743589743589744,0.13333333333333333,0.158974358974359,0.13846153846153847,0.11794871794871796,0.12307692307692308,0.11794871794871796,0.041025641025641026,0.10256410256410257,0.08717948717948719,2.4051282051282055
39,8375,"POLYGON ((79000 455000, 79000 456000, 78000 456000, 78000 455000, 79000 455000))",0.025641025641025644,0.005128205128205128,0.03076923076923077,0.010256410256410256,0.015384615384615385,0.015384615384615385,0.020512820512820513,0.05641025641025641,0.1076923076923077,0.15384615384615385,0.158974358974359,0.19487179487179487,0.19487179487179487,0.1435897435897436,0.20000000000000004,0.22051282051282053,0.12820512820512822,0.08717948717948719,0.10256410256410257,0.0717948717948718,0.041025641025641026,0.07692307692307693,0.06666666666666667,0.046153846153846156,2.1743589743589746
40,9845,"POLYGON ((79000 456000, 79000 457000, 78000 457000, 78000 456000, 79000 456000))",0.020512820512820513,0.046153846153846156,0.025641025641025644,0.03076923076923077,0.025641025641025644,0.010256410256410256,0.020512820512820513,0.025641025641025644,0.03076923076923077,0.041025641025641026,0.03076923076923077,0.0717948717948718,0.09743589743589744,0.05128205128205129,0.06666666666666667,0.11282051282051282,0.07692307692307693,0.05641025641025641,0.046153846153846156,0.03076923076923077,0.05128205128205129,0.0358974358974359,0.041025641025641026,0.046153846153846156,1.0923076923076924
41,6970,"POLYGON ((79000 457000, 79000 458000, 78000 458000, 78000 457000, 79000 457000))",0.025641025641025644,0.03076923076923077,0.0358974358974359,0.025641025641025644,0.020512820512820513,0.020512820512820513,0.06153846153846154,0.046153846153846156,0.0358974358974359,0.07692307692307693,0.11794871794871796,0.0717948717948718,0.09743589743589744,0.1076923076923077,0.13846153846153847,0.06153846153846154,0.08205128205128205,0.11282051282051282,0.08205128205128205,0.09743589743589744,0.06666666666666667,0.06666666666666667,0.07692307692307693,0.05128205128205129,1.6102564102564103
42,2835,"POLYGON ((79000 458000, 79000 459000, 78000 459000, 78000 458000, 79000 458000))",0.015384615384615385,0.005128205128205128,0.020512820512820513,0.015384615384615385,0.015384615384615385,0.005128205128205128,0.020512820512820513,0.03076923076923077,0.0358974358974359,0.07692307692307693,0.12820512820512822,0.12307692307692308,0.1641025641025641,0.06153846153846154,0.08205128205128205,0.06153846153846154,0.12820512820512822,0.06153846153846154,0.07692307692307693,0.08205128205128205,0.05128205128205129,0.046153846153846156,0.0358974358974359,0.020512820512820513,1.3641025641025641
44,6025,"POLYGON ((80000 448000, 80000 449000, 79000 449000, 79000 448000, 80000 448000))",0.010256410256410256,0.010256410256410256,0.010256410256410256,0.0,0.005128205128205128,0.010256410256410256,0.0,0.0,0.010256410256410256,0.015384615384615385,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.010256410256410256,0.005128205128205128,0.020512820512820513,0.015384615384615385,0.010256410256410256,0.0,0.0,0.020512820512820513,0.015384615384615385,0.005128205128205128,0.2
45,8270,"POLYGON ((80000 449000, 80000 450000, 79000 450000, 79000 449000, 80000 449000))",0.015384615384615385,0.025641025641025644,0.005128205128205128,0.010256410256410256,0.010256410256410256,0.025641025641025644,0.03076923076923077,0.020512820512820513,0.03076923076923077,0.03076923076923077,0.0358974358974359,0.025641025641025644,0.020512820512820513,0.03076923076923077,0.03076923076923077,0.015384615384615385,0.025641025641025644,0.025641025641025644,0.03076923076923077,0.0358974358974359,0.05128205128205129,0.046153846153846156,0.015384615384615385,0.005128205128205128,0.6000000000000001
46,4595,"POLYGON ((80000 450000, 80000 451000, 79000 451000, 79000 450000, 80000 450000))",0.020512820512820513,0.03076923076923077,0.025641025641025644,0.010256410256410256,0.020512820512820513,0.020512820512820513,0.03076923076923077,0.05128205128205129,0.06666666666666667,0.08205128205128205,0.07692307692307693,0.06666666666666667,0.06153846153846154,0.08717948717948719,0.07692307692307693,0.05641025641025641,0.09230769230769231,0.041025641025641026,0.0358974358974359,0.05128205128205129,0.05641025641025641,0.0358974358974359,0.03076923076923077,0.041025641025641026,1.1692307692307693
47,10180,"POLYGON ((80000 451000, 80000 452000, 79000 452000, 79000 451000, 80000 451000))",0.0358974358974359,0.025641025641025644,0.0358974358974359,0.0,0.020512820512820513,0.015384615384615385,0.03076923076923077,0.0358974358974359,0.10256410256410257,0.1435897435897436,0.1435897435897436,0.2153846153846154,0.11794871794871796,0.1435897435897436,0.17948717948717952,0.11794871794871796,0.12307692307692308,0.09743589743589744,0.12307692307692308,0.07692307692307693,0.07692307692307693,0.09743589743589744,0.06153846153846154,0.06153846153846154,2.082051282051282
48,975,"POLYGON ((80000 452000, 80000 453000, 79000 453000, 79000 452000, 80000 452000))",0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.005128205128205128,0.03076923076923077,0.010256410256410256,0.005128205128205128,0.010256410256410256,0.0358974358974359,0.015384615384615385,0.020512820512820513,0.025641025641025644,0.005128205128205128,0.025641025641025644,0.005128205128205128,0.020512820512820513,0.005128205128205128,0.025641025641025644,0.015384615384615385,0.005128205128205128,0.27692307692307694
49,19710,"POLYGON ((80000 453000, 80000 454000, 79000 454000, 79000 453000, 80000 453000))",0.11282051282051282,0.06666666666666667,0.06666666666666667,0.041025641025641026,0.0358974358974359,0.025641025641025644,0.08205128205128205,0.06153846153846154,0.15384615384615385,0.15384615384615385,0.18461538461538463,0.14871794871794872,0.26153846153846155,0.19487179487179487,0.19487179487179487,0.11794871794871796,0.17948717948717952,0.20000000000000004,0.158974358974359,0.158974358974359,0.18461538461538463,0.158974358974359,0.18461538461538463,0.14871794871794872,3.276923076923077
50,15610,"POLYGON ((80000 454000, 80000 455000, 79000 455000, 79000 454000, 80000 454000))",0.10256410256410257,0.0717948717948718,0.0717948717948718,0.05641025641025641,0.06666666666666667,0.046153846153846156,0.08717948717948719,0.1435897435897436,0.18974358974358974,0.24615384615384617,0.1641025641025641,0.2717948717948718,0.2717948717948718,0.23076923076923075,0.22564102564102564,0.22051282051282053,0.1692307692307692,0.27692307692307694,0.2153846153846154,0.1435897435897436,0.15384615384615385,0.23076923076923075,0.18461538461538463,0.13846153846153847,3.9794871794871796
51,12790,"POLYGON ((80000 455000, 80000 456000, 79000 456000, 79000 455000, 80000 455000))",0.0717948717948718,0.03076923076923077,0.025641025641025644,0.010256410256410256,0.015384615384615385,0.025641025641025644,0.005128205128205128,0.03076923076923077,0.09230769230769231,0.041025641025641026,0.05641025641025641,0.11282051282051282,0.1076923076923077,0.10256410256410257,0.09743589743589744,0.09743589743589744,0.11282051282051282,0.11282051282051282,0.06666666666666667,0.08717948717948719,0.06666666666666667,0.041025641025641026,0.046153846153846156,0.03076923076923077,1.4871794871794872
52,1945,"POLYGON ((80000 456000, 80000 457000, 79000 457000, 79000 456000, 80000 456000))",0.010256410256410256,0.005128205128205128,0.010256410256410256,0.005128205128205128,0.025641025641025644,0.0,0.015384615384615385,0.010256410256410256,0.0358974358974359,0.041025641025641026,0.0717948717948718,0.07692307692307693,0.06153846153846154,0.06666666666666667,0.05128205128205129,0.06666666666666667,0.025641025641025644,0.041025641025641026,0.010256410256410256,0.03076923076923077,0.03076923076923077,0.025641025641025644,0.015384615384615385,0.041025641025641026,0.7743589743589745
53,5055,"POLYGON ((80000 457000, 80000 458000, 79000 458000, 79000 457000, 80000 457000))",0.06666666666666667,0.020512820512820513,0.03076923076923077,0.025641025641025644,0.010256410256410256,0.020512820512820513,0.025641025641025644,0.05641025641025641,0.08717948717948719,0.11794871794871796,0.11282051282051282,0.09230769230769231,0.14871794871794872,0.14871794871794872,0.07692307692307693,0.12307692307692308,0.12307692307692308,0.041025641025641026,0.046153846153846156,0.05641025641025641,0.0358974358974359,0.046153846153846156,0.03076923076923077,0.06153846153846154,1.6051282051282052
54,10230,"POLYGON ((80000 458000, 80000 459000, 79000 459000, 79000 458000, 80000 458000))",0.06153846153846154,0.07692307692307693,0.03076923076923077,0.041025641025641026,0.03076923076923077,0.05128205128205129,0.0358974358974359,0.09230769230769231,0.11282051282051282,0.11794871794871796,0.158974358974359,0.13333333333333333,0.18974358974358974,0.15384615384615385,0.11282051282051282,0.09743589743589744,0.13333333333333333,0.11282051282051282,0.11282051282051282,0.13333333333333333,0.12307692307692308,0.12820512820512822,0.09743589743589744,0.08205128205128205,2.420512820512821
55,1105,"POLYGON ((80000 459000, 80000 460000, 79000 460000, 79000 459000, 80000 459000))",0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.005128205128205128,0.020512820512820513,0.046153846153846156,0.025641025641025644,0.05641025641025641,0.03076923076923077,0.041025641025641026,0.025641025641025644,0.041025641025641026,0.020512820512820513,0.020512820512820513,0.015384615384615385,0.0,0.010256410256410256,0.010256410256410256,0.005128205128205128,0.0,0.3794871794871795
57,5055,"POLYGON ((81000 448000, 81000 449000, 80000 449000, 80000 448000, 81000 448000))",0.010256410256410256,0.0,0.010256410256410256,0.020512820512820513,0.005128205128205128,0.005128205128205128,0.020512820512820513,0.020512820512820513,0.0358974358974359,0.0358974358974359,0.046153846153846156,0.041025641025641026,0.0358974358974359,0.015384615384615385,0.020512820512820513,0.041025641025641026,0.025641025641025644,0.05128205128205129,0.025641025641025644,0.025641025641025644,0.010256410256410256,0.020512820512820513,0.010256410256410256,0.010256410256410256,0.5435897435897437
58,3895,"POLYGON ((81000 449000, 81000 450000, 80000 450000, 80000 449000, 81000 449000))",0.0,0.0,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.0,0.005128205128205128,0.0,0.005128205128205128,0.010256410256410256,0.010256410256410256,0.0,0.015384615384615385,0.020512820512820513,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.0,0.020512820512820513,0.010256410256410256,0.0,0.005128205128205128,0.010256410256410256,0.0,0.14358974358974358
